name,E125_1,E125_2,E145_1,E145_2,P0_1,P0_2,P07_1,P07_2,P21_1,P21_2,Adult_1,Adult_2
ENSMUSG00000031917,1298.769107,1352.89611,986.2007719,1236.896391,598.9501385,732.8264275,457.1073944,503.0516929,1328.729185,1377.725843,3163.275851,2668.837812
ENSMUSG00000031918,1981.603308,1984.808705,1712.524313,1731.929203,1396.21039,1462.658672,1148.650383,1084.335656,1317.185056,1734.960287,2706.010233,1866.893009
ENSMUSG00000031921,1108.067663,1164.935427,886.247991,946.8702414,693.4154289,663.2116597,574.7453267,545.8065384,349.787092,537.1007367,302.7557745,226.3553879
ENSMUSG00000031922,1234.176682,1254.707694,1040.249313,1116.909213,752.3724895,675.1883939,615.0783321,611.303323,805.7801658,743.197531,1459.49163,1433.584123
ENSMUSG00000031924,4642.964989,4466.871605,4748.12729,4848.853256,3669.407057,4515.228816,4579.476653,5029.607251,6919.550593,5637.059592,5226.191059,6163.333848
ENSMUSG00000031925,569.7974589,490.2407367,265.0599672,265.3430727,282.7259043,187.1364728,215.949633,210.1355173,58.87505509,74.94428884,4.175941717,131.5017016
ENSMUSG00000031928,1431.029785,1403.39301,1403.781279,1180.673827,765.1018548,855.5879537,704.9873233,539.4387954,609.5299821,360.9816579,89.78274692,394.5051047
ENSMUSG00000031930,1270.317682,1603.977918,966.9506067,991.4369073,1498.045313,1280.76202,1745.242754,1415.45829,2080.251947,1606.305924,2127.642305,2138.519474
ENSMUSG00000031931,663.6102659,699.2417947,693.0059478,665.7574253,485.0558169,603.3279884,487.3571484,344.7677968,758.4492391,695.7328147,432.2099677,687.6892261
ENSMUSG00000031934,471.3709073,717.4767863,567.8798739,696.611271,447.5376874,535.9588581,329.3862106,353.8645724,1013.574478,848.1195353,1670.376687,683.3776949
ENSMUSG00000031935,921.2110064,720.2821696,770.7469997,1064.800496,641.8280008,690.1593117,526.8498828,614.0323557,1639.26624,1192.863264,2457.5417,1108.063518
ENSMUSG00000031937,19.99289329,28.05383329,151.7801488,137.813844,92.45539051,160.1888207,152.0890411,201.9484192,557.5814041,829.3834631,845.6281977,1280.524766
ENSMUSG00000031938,587.4834799,574.4022366,606.3802044,665.0717843,1300.405167,1381.815715,1844.394725,1706.55511,9028.662861,8296.332774,5034.09774,6167.645379
ENSMUSG00000031939,1154.205109,1199.301373,1226.087446,1131.307674,943.9829365,1104.853736,736.9176192,681.3484954,1868.994396,1732.462144,3770.87537,4861.251426
ENSMUSG00000031948,5437.298019,4722.161488,4202.459145,4109.732242,2695.275623,2911.094971,2629.207789,2417.013288,2808.686452,2794.172902,3430.536121,2308.824957
ENSMUSG00000031949,286.821123,263.0046871,221.3769,193.3507662,84.41579134,87.57986928,78.14519793,91.87743396,65.80153216,18.73607221,135.7181058,90.54215517
ENSMUSG00000031950,1148.822407,1019.75684,1030.62423,1085.369726,1618.639301,1799.504323,1800.700636,1532.806695,5169.46072,5806.933313,18618.43615,14754.05976
ENSMUSG00000031951,444.4573971,489.5393909,327.2528087,372.988712,156.1022173,162.4344584,144.5266026,156.464541,47.33092664,118.6617907,89.78274692,99.16521756
ENSMUSG00000031953,373.7133131,312.8002412,396.8495599,407.2707628,373.8413616,337.594197,334.4278363,339.3097314,514.8681289,789.4131758,751.6695091,739.4276005
ENSMUSG00000031954,3391.871243,3388.201715,2848.284061,2953.055851,1461.867117,1780.042129,1481.397677,1655.613166,2772.899654,2381.979314,3624.71741,2856.389419
ENSMUSG00000031955,1698.626973,1695.152876,1359.357821,1430.247157,1882.60614,1971.669878,1761.207902,1804.800287,1062.059817,1526.365349,952.1147115,1446.518717
ENSMUSG00000031959,617.4728198,635.419324,611.5629411,565.6538372,546.0227773,519.4908485,593.2312875,429.3678102,245.889936,377.2195871,597.1596655,331.9879023
ENSMUSG00000031960,3952.441213,3865.116881,2928.986677,3142.292771,2408.52992,2488.915088,2493.924166,2623.510095,1506.508763,1451.42106,764.1973342,881.7081301
ENSMUSG00000031963,171.4775079,32.26190828,365.0127482,466.23589,274.6863051,229.0550427,114.2768486,159.1935737,17.31619267,46.21564478,60.5511549,62.51720238
ENSMUSG00000031967,1164.201556,1575.222739,1509.657188,1357.569209,1047.157793,1086.888634,856.2360935,1006.103386,1421.082212,723.2123873,507.3769186,674.7546326
ENSMUSG00000031969,532.1185446,446.0559493,534.5622803,521.7728122,708.8246606,651.2349254,823.4655266,715.0065653,1514.589653,1467.65899,2570.292127,2727.043483
ENSMUSG00000031972,3.844787172,9.81884165,14.06742843,11.65589725,338.333132,440.89353,434.4200788,1237.161487,263.2061287,284.7882976,75.16695091,161.6824199
ENSMUSG00000031974,871.9977306,927.880536,790.7375559,871.4497298,730.2635917,807.6810167,762.1257476,764.1291537,959.3170742,1005.502542,1373.884825,1036.923253
ENSMUSG00000031976,950.4313889,894.215936,880.3248632,934.5287031,584.88084,570.3919691,513.4055477,428.4581326,248.1987617,296.0299409,526.1686563,170.3054823
ENSMUSG00000031979,800.4846892,796.7288654,706.3329853,700.0394761,938.6232037,921.4599921,691.5429882,817.80013,1357.589506,1636.28364,1632.793211,1506.880154
ENSMUSG00000031980,10.76540408,3.506729161,22.95212007,23.3117945,391.2604932,336.8456511,1190.66393,1284.46472,975.478854,800.6548191,298.5798328,275.9379967
ENSMUSG00000031981,0,0,8.884691639,6.856410148,1245.467906,1115.333378,384.0038221,296.5548859,251.6620002,489.6360204,1357.181058,297.4956527
ENSMUSG00000031983,2373.7716,2309.531825,2512.886952,2390.830218,2442.698216,2508.377282,2270.412095,2225.071322,660.3241473,643.2718125,231.7647653,165.9939511
ENSMUSG00000031984,1333.372191,1535.947372,1148.346394,1221.126647,756.3922891,720.1011474,527.6901538,618.5807435,953.54501,793.1603902,1179.703535,1308.549719
ENSMUSG00000031985,2406.83677,2604.798421,2084.940971,1926.651251,1367.401826,1428.225561,1449.467381,1497.32927,1043.589212,1185.368835,584.6318404,1011.054066
ENSMUSG00000031986,552.8803953,548.4524408,515.3121151,521.0871712,596.9402388,463.3499067,423.4965565,427.5484551,563.3534683,410.9445171,442.649822,465.6453694
ENSMUSG00000031987,1620.962272,1547.168906,1887.256582,1978.759969,1592.510603,1589.162927,1783.054946,1656.522844,1083.993661,1156.640191,618.0393741,646.7296798
ENSMUSG00000031988,1968.531032,1711.985176,1550.378691,1677.763563,1476.606382,1348.13115,1347.794597,1429.103453,947.7729457,1175.376263,1014.753837,879.5523645
ENSMUSG00000031990,1327.220532,1219.640402,901.0558104,1045.602548,494.4353493,581.6201575,730.1954517,679.5291403,506.7872389,528.3572363,461.4415597,254.3803407
ENSMUSG00000031993,1241.866257,1157.220623,1032.845403,1240.324596,989.5406651,1005.297132,1156.212821,1036.122745,820.7875328,585.8145244,605.511549,422.5300574
ENSMUSG00000031994,163.7879335,117.124754,1260.885822,1206.042545,475.0063179,422.1798827,629.3629382,678.6194627,128.1398258,133.6506484,2.087970859,21.55765599
ENSMUSG00000031995,577.4870332,634.0166323,1426.733399,1676.392281,2991.40086,3902.918277,2876.247446,2915.516593,4640.739637,4650.293122,4935.96311,5934.822695
ENSMUSG00000031996,5323.492318,5188.556466,5559.595793,4809.086077,8067.067806,8180.858046,9713.53213,9567.07894,5264.122573,6194.145472,2622.491398,2802.495279
ENSMUSG00000032000,157.6362741,167.6216539,173.251487,138.499485,837.4582474,657.2232925,699.1054267,742.2968922,825.4051842,944.2980393,927.0590612,862.3062397
ENSMUSG00000032002,1071.926664,994.50839,986.9411629,1026.404599,759.0721555,863.8219585,736.9176192,789.6001255,1216.751139,1491.391348,2785.353125,3123.704353
ENSMUSG00000032006,192.2393586,125.540904,135.4915475,112.4451264,345.0327979,229.8035886,263.0048059,223.7806807,322.0811837,412.1935886,173.3015813,431.1531198
ENSMUSG00000032009,3374.95418,2995.448049,4313.517791,4080.249679,950.6826025,845.8568571,1400.731666,1244.438908,563.3534683,840.6251065,737.0537131,625.1720238
ENSMUSG00000032010,127.6469341,162.7122331,121.4241191,175.5240998,320.9140004,254.505603,85.70763644,177.387125,189.3237066,292.2827265,229.6767944,321.2090743
ENSMUSG00000032011,49.98223324,50.49689992,46.6446311,81.59128076,124.6137872,258.2483325,259.6437222,362.0516705,330.1620737,490.8850919,204.6211441,364.3243863
ENSMUSG00000032012,355.2583347,373.1159827,519.7544609,489.5476845,335.6532656,254.505603,370.559487,397.5290955,41.55886242,146.1413632,156.5978144,73.29603037
ENSMUSG00000032013,6.92061691,18.93633747,45.90424013,33.59640972,152.7523843,62.87785487,231.07451,318.3871474,1.154412845,34.97400146,27.14362116,133.6574672
ENSMUSG00000032014,1190.346108,986.7935859,1671.80281,1360.997414,736.9632577,907.9861661,531.0512376,1058.864684,1410.692497,1517.621849,2762.385446,1744.01437
ENSMUSG00000032018,615.1659475,612.2749115,898.0942465,971.5533179,1238.098273,1580.928922,1497.362825,1585.567994,2584.73036,2745.459114,2526.444739,1983.304351
ENSMUSG00000032020,316.810463,399.7671243,200.6459528,230.375381,136.673186,118.2702508,204.1858398,134.6322795,42.71327526,51.21193071,208.7970859,79.76332717
ENSMUSG00000032024,1981.603308,2221.16225,2479.569358,2477.220986,1827.668879,1400.529363,2321.668622,1963.993861,1518.052891,1620.04571,987.6102161,646.7296798
ENSMUSG00000032026,434.4609504,380.129441,537.5238442,563.5969141,574.1613744,863.0734126,900.7704536,752.3033454,1507.663176,2095.941944,2411.606342,2207.503974
ENSMUSG00000032028,34.60308455,16.83229997,11.84625552,6.856410148,931.2535711,1043.472972,562.9815335,449.3807166,990.486221,1577.57728,2511.828943,3410.421178
ENSMUSG00000032030,1293.386405,1356.402839,1264.587777,1375.395876,860.9070783,732.0778817,719.2719294,709.5484999,684.5668171,1057.963544,446.8257637,566.9663526
ENSMUSG00000032035,4093.929381,3912.107052,2630.609116,2595.836882,1498.045313,993.3203977,1357.877848,1158.929217,342.860615,434.6768753,167.0376687,62.51720238
ENSMUSG00000032038,206.8495499,192.8701038,231.7423736,261.9148676,1678.936294,2321.240809,5924.750437,5120.575008,13051.79163,9825.196267,18461.83833,15467.61817
ENSMUSG00000032040,1151.898237,949.6222568,778.8913003,905.7317805,458.9271196,579.3745198,522.6485281,473.0323333,577.2064225,557.0858804,1390.588592,1362.443859
ENSMUSG00000032041,338.3412711,462.8882492,297.6371699,377.7881991,406.6697249,462.6013608,230.2342391,547.6258935,222.8016791,286.0373691,48.02332975,181.0843103
ENSMUSG00000032042,2460.66379,2397.200054,2566.195102,2623.948163,3400.080484,3446.305283,2488.04227,2786.342378,3884.599223,4560.359976,3937.913039,5053.114565
ENSMUSG00000032044,519.8152257,502.1636158,416.0997251,424.4117881,345.7027645,312.1436367,276.4491411,209.2258397,505.6328261,518.3646645,240.1166487,452.7107758
ENSMUSG00000032046,700.5202227,672.5906531,692.2655569,692.4974249,811.3295501,1042.724427,1013.36676,766.8581864,1439.552818,1270.305696,1158.823826,1220.163329
ENSMUSG00000032047,1373.357978,1345.181306,2705.388604,2626.690728,3114.004747,3524.154056,4775.259783,4796.729795,8710.044915,8619.842288,12872.34034,9631.960697
ENSMUSG00000032050,6203.179623,5617.780116,3976.639899,3564.647636,2563.292204,2158.80635,2336.793499,2367.890699,1047.05245,1402.707273,866.5079063,549.7202278
ENSMUSG00000032051,271.4419743,252.4844996,238.4058923,239.2887141,395.9502594,478.3208245,343.6708167,417.5420019,1059.750992,1121.66619,2839.640368,2257.086582
ENSMUSG00000032058,1668.637633,1760.378039,1288.280288,1406.935362,1043.137993,1044.221518,718.4316584,827.8065832,491.779872,494.6323063,691.1183542,390.1935735
ENSMUSG00000032059,776.6470088,690.1242989,736.6890151,747.3487061,628.4286689,794.9557365,700.7859686,565.8194448,1118.626047,1239.078909,547.0483649,508.7606814
ENSMUSG00000032060,94.58176443,83.46015403,184.3573515,207.0635865,434.1383555,637.0125535,912.5342468,896.9420781,900.4420191,1355.242556,402.9783757,575.589415
